Designator,Mid X,Mid Y,Rotation,Layer
D1,37.2,-27.685,90.0,bottom
D10,37.175,-47.685,90.0,bottom
D11,58.15,-47.635,90.0,bottom
D12,76.2,-47.7225,90.0,bottom
D13,95.25,-47.7225,90.0,bottom
D14,114.3,-47.7225,90.0,bottom
D15,133.35,-47.7225,90.0,bottom
D16,152.4,-47.7225,90.0,bottom
D17,171.45,-47.7225,90.0,bottom
D18,183.565,-57.075,180.0,bottom
D19,38.1,-66.7725,90.0,bottom
D2,58.05,-27.81,90.0,bottom
D20,57.15,-66.7725,90.0,bottom
D21,76.2,-66.7725,90.0,bottom
D22,95.25,-66.7725,90.0,bottom
D23,114.3,-66.7725,90.0,bottom
D24,133.35,-66.7725,90.0,bottom
D25,152.4,-66.7725,90.0,bottom
D26,171.45,-66.7725,90.0,bottom
D27,183.565,-76.125,180.0,bottom
D28,38.1,-85.8225,90.0,bottom
D29,57.15,-85.8225,90.0,bottom
D3,76.2,-27.6225,90.0,bottom
D30,76.2,-85.8225,90.0,bottom
D31,95.25,-85.8225,90.0,bottom
D32,114.3,-85.8225,90.0,bottom
D33,133.35,-85.8225,90.0,bottom
D34,152.4,-85.8225,90.0,bottom
D35,171.45,-85.8225,90.0,bottom
D36,183.565,-95.175,180.0,bottom
D37,38.1,-103.8225,90.0,bottom
D38,57.15,-103.8225,90.0,bottom
D39,76.2,-103.8225,90.0,bottom
D4,95.25,-27.6225,90.0,bottom
D40,95.25,-103.8225,90.0,bottom
D41,114.3,-103.8225,90.0,bottom
D42,133.35,-103.8225,90.0,bottom
D43,152.4,-103.8225,90.0,bottom
D44,171.45,-103.8225,90.0,bottom
D45,183.565,-114.225,180.0,bottom
D46,38.1,-122.8725,90.0,bottom
D47,57.15,-122.8725,90.0,bottom
D48,76.2,-122.8725,90.0,bottom
D49,95.25,-122.8725,90.0,bottom
D5,114.3,-27.6225,90.0,bottom
D50,114.3,-122.8725,90.0,bottom
D51,133.35,-122.8725,90.0,bottom
D52,152.4,-122.8725,90.0,bottom
D53,171.45,-122.8725,90.0,bottom
D54,190.5,-122.8725,90.0,bottom
D55,217.771903,-113.57727,110.0,bottom
D56,241.384047,-133.662827,135.0,bottom
D57,251.213521,-142.987471,160.0,bottom
D58,213.009403,-128.595853,110.0,bottom
D59,229.477797,-145.569077,135.0,bottom
D6,133.35,-27.6225,90.0,bottom
D60,234.544771,-148.940596,160.0,bottom
D7,152.4,-27.6225,90.0,bottom
D8,171.45,-27.6225,90.0,bottom
D9,183.565,-38.025,180.0,bottom
S1,28.575,-28.575,0.0,top
S10,28.575,-47.625,0.0,top
S11,47.625,-47.625,0.0,top
S12,66.675,-47.625,0.0,top
S13,85.725,-47.625,0.0,top
S14,104.775,-47.625,0.0,top
S15,123.825,-47.625,0.0,top
S16,142.875,-47.625,0.0,top
S17,161.925,-47.625,0.0,top
S18,180.975,-47.625,0.0,top
S19,28.575,-66.675,0.0,top
S2,47.625,-28.575,0.0,top
S20,47.625,-66.675,0.0,top
S21,66.675,-66.675,0.0,top
S22,85.725,-66.675,0.0,top
S23,104.775,-66.675,0.0,top
S24,123.825,-66.675,0.0,top
S25,142.875,-66.675,0.0,top
S26,161.925,-66.675,0.0,top
S27,180.975,-66.675,0.0,top
S28,28.575,-85.725,0.0,top
S29,47.625,-85.725,0.0,top
S3,66.675,-28.575,0.0,top
S30,66.675,-85.725,0.0,top
S31,85.725,-85.725,0.0,top
S32,104.775,-85.725,0.0,top
S33,123.825,-85.725,0.0,top
S34,142.875,-85.725,0.0,top
S35,161.925,-85.725,0.0,top
S36,180.975,-85.725,0.0,top
S37,28.575,-104.775,0.0,top
S38,47.625,-104.775,0.0,top
S39,66.675,-104.775,0.0,top
S4,85.725,-28.575,0.0,top
S40,85.725,-104.775,0.0,top
S41,104.775,-104.775,0.0,top
S42,123.825,-104.775,0.0,top
S43,142.875,-104.775,0.0,top
S44,161.925,-104.775,0.0,top
S45,180.975,-104.775,0.0,top
S46,28.575,-123.825,0.0,top
S47,47.625,-123.825,0.0,top
S48,66.675,-123.825,0.0,top
S49,85.725,-123.825,0.0,top
S5,104.775,-28.575,0.0,top
S50,104.775,-123.825,0.0,top
S51,123.825,-123.825,0.0,top
S52,142.875,-123.825,0.0,top
S53,161.925,-123.825,0.0,top
S54,180.975,-123.825,0.0,top
S55,209.223797,-109.756025,340.0,top
S56,235.341913,-126.395099,315.0,top
S57,251.980988,-152.513214,290.0,top
S58,202.708314,-127.657169,340.0,top
S59,221.871529,-139.865483,315.0,top
S6,123.825,-28.575,0.0,top
S60,234.079844,-159.028698,290.0,top
S7,142.875,-28.575,0.0,top
S8,161.925,-28.575,0.0,top
S9,180.975,-28.575,0.0,top
U1,47.625,-35.639375,0.0,bottom
